id,from_system_id,to_system_id,distance,route_type,stability,tags
route-sys-0001-sys-0002,sys-0001,sys-0002,1,DangerousPassage,Hazardous,
route-sys-0001-sys-0003,sys-0001,sys-0003,2,ChartedPassage,Stable,
route-sys-0001-sys-0006,sys-0001,sys-0006,2,ChartedPassage,Stable,
route-sys-0001-sys-0007,sys-0001,sys-0007,4,ChartedPassage,Unstable,
route-sys-0002-sys-0003,sys-0002,sys-0003,1,DangerousPassage,Hazardous,
route-sys-0002-sys-0006,sys-0002,sys-0006,2,DangerousPassage,Hazardous,
route-sys-0003-sys-0006,sys-0003,sys-0006,2,ChartedPassage,Stable,
route-sys-0003-sys-0007,sys-0003,sys-0007,2,ChartedPassage,Stable,
route-sys-0003-sys-0008,sys-0003,sys-0008,4,ChartedPassage,Unstable,
route-sys-0004-sys-0005,sys-0004,sys-0005,3,ChartedPassage,Stable,
route-sys-0004-sys-0007,sys-0004,sys-0007,4,ChartedPassage,Unstable,
route-sys-0004-sys-0008,sys-0004,sys-0008,2,ChartedPassage,Stable,
route-sys-0004-sys-0012,sys-0004,sys-0012,2,DangerousPassage,Hazardous,
route-sys-0004-sys-0016,sys-0004,sys-0016,4,DangerousPassage,Hazardous,bridge
route-sys-0005-sys-0009,sys-0005,sys-0009,1,DangerousPassage,Hazardous,
route-sys-0005-sys-0010,sys-0005,sys-0010,1,DangerousPassage,Hazardous,
route-sys-0005-sys-0013,sys-0005,sys-0013,2,DangerousPassage,Hazardous,
route-sys-0005-sys-0017,sys-0005,sys-0017,4,ChartedPassage,Unstable,
route-sys-0006-sys-0007,sys-0006,sys-0007,2,ChartedPassage,Stable,
route-sys-0006-sys-0008,sys-0006,sys-0008,4,ChartedPassage,Unstable,
route-sys-0006-sys-0011,sys-0006,sys-0011,2,DangerousPassage,Hazardous,
route-sys-0006-sys-0018,sys-0006,sys-0018,4,ChartedPassage,Unstable,
route-sys-0007-sys-0008,sys-0007,sys-0008,2,ChartedPassage,Stable,
route-sys-0007-sys-0011,sys-0007,sys-0011,1,DangerousPassage,Hazardous,
route-sys-0007-sys-0014,sys-0007,sys-0014,2,DangerousPassage,Hazardous,
route-sys-0007-sys-0018,sys-0007,sys-0018,4,ChartedPassage,Unstable,
route-sys-0008-sys-0018,sys-0008,sys-0018,4,ChartedPassage,Unstable,
route-sys-0009-sys-0010,sys-0009,sys-0010,1,DangerousPassage,Hazardous,
route-sys-0009-sys-0022,sys-0009,sys-0022,4,DangerousPassage,Hazardous,bridge
route-sys-0010-sys-0013,sys-0010,sys-0013,1,DangerousPassage,Hazardous,
route-sys-0012-sys-0015,sys-0012,sys-0015,1,DangerousPassage,Hazardous,
route-sys-0016-sys-0020,sys-0016,sys-0020,1,DangerousPassage,Hazardous,
route-sys-0017-sys-0021,sys-0017,sys-0021,2,ChartedPassage,Stable,
route-sys-0017-sys-0023,sys-0017,sys-0023,3,ChartedPassage,Stable,
route-sys-0018-sys-0019,sys-0018,sys-0019,1,DangerousPassage,Hazardous,
route-sys-0021-sys-0023,sys-0021,sys-0023,1,ChartedPassage,Stable,
route-sys-0021-sys-0024,sys-0021,sys-0024,1,DangerousPassage,Hazardous,
route-sys-0023-sys-0024,sys-0023,sys-0024,1,DangerousPassage,Hazardous,
