id,index,name,q,r,star_colour_code,star_colour_name,spectral_type,world_count,primary_factions,tags
sys-0001,1,Vaxanide,0,0,A,amber,A,5,imperial_administration;mechanicus,
sys-0002,2,Vaxanide II,0,1,A,amber,A,4,,
sys-0003,3,Wyrm Crown,0,2,A,amber,A,3,mechanicus,
sys-0004,4,Iocanthos,1,6,A,amber,A,4,imperial_administration,
sys-0005,5,Drusus Brink,1,9,A,amber,A,2,,
sys-0006,6,Wyrm Terminus,2,0,B,blue-white,B,5,imperial_administration;inquisition;mechanicus;xenos_threat,
sys-0007,7,Solomon,2,2,A,amber,A,3,rebels,
sys-0008,8,Tarsus Watch,2,4,O,orange dwarf,O-dwarf,4,imperial_administration,
sys-0009,9,Solomon II,2,8,B,blue-white,B,6,ecclesiarchy;imperial_administration;inquisition;rebels,
sys-0010,10,Malfi,2,9,A,amber,A,6,free_traders;imperial_administration;mechanicus;xenos_threat,
sys-0011,11,Sepheris,3,1,A,amber,A,3,imperial_administration;rebels,
sys-0012,12,Malfi II,3,5,A,amber,A,6,free_traders;imperial_administration;mechanicus;rebels,
sys-0013,13,Zayth,3,9,B,blue-white,B,4,ecclesiarchy;imperial_administration;mechanicus,
sys-0014,14,Zaragoz Pass,4,2,B,blue-white,B,6,ecclesiarchy;free_traders;imperial_administration;mechanicus,
sys-0015,15,Vaxanide III,4,5,A,amber,A,4,ecclesiarchy;free_traders,
sys-0016,16,Quaddis,5,3,O,orange dwarf,O-dwarf,6,free_traders;imperial_administration;mechanicus,
sys-0017,17,Tarsus Span,5,7,A,amber,A,5,ecclesiarchy;inquisition;rebels,
sys-0018,18,Karis,6,0,A,amber,A,5,imperial_administration;inquisition;rebels;xenos_threat,
sys-0019,19,Malfi Crown,6,1,F,fuchsia,F,3,ecclesiarchy,
sys-0020,20,Zaragoz Hold,6,3,B,blue-white,B,5,free_traders;imperial_administration,
sys-0021,21,Scintilla Hold,6,5,B,blue-white,B,3,,
sys-0022,22,Heres,6,8,A,amber,A,4,imperial_administration,
sys-0023,23,Tarsus Pass,7,4,F,fuchsia,F,2,,
sys-0024,24,Vaxanide IV,7,5,A,amber,A,2,inquisition,
