id,from_system_id,to_system_id,distance,route_type,stability,tags
route-sys-0001-sys-0002,sys-0001,sys-0002,2,DangerousPassage,Hazardous,
route-sys-0001-sys-0004,sys-0001,sys-0004,1,ChartedPassage,Stable,
route-sys-0001-sys-0005,sys-0001,sys-0005,1,DangerousPassage,Hazardous,
route-sys-0001-sys-0006-smuggling,sys-0001,sys-0006,3,SmugglingLane,Stable,hidden:smuggling
route-sys-0001-sys-0007-blackship,sys-0001,sys-0007,8,BlackShip,Stable,hidden:blackship
route-sys-0001-sys-0008,sys-0001,sys-0008,2,ChartedPassage,Stable,
route-sys-0001-sys-0014-blackship,sys-0001,sys-0014,6,BlackShip,Stable,hidden:blackship
route-sys-0002-sys-0004-blackship,sys-0002,sys-0004,3,BlackShip,Stable,hidden:blackship
route-sys-0002-sys-0005,sys-0002,sys-0005,2,DangerousPassage,Hazardous,
route-sys-0002-sys-0006,sys-0002,sys-0006,1,DangerousPassage,Hazardous,
route-sys-0002-sys-0007-webway,sys-0002,sys-0007,6,Webway,Stable,hidden:webway
route-sys-0002-sys-0008-blackship,sys-0002,sys-0008,3,BlackShip,Stable,hidden:blackship
route-sys-0002-sys-0009,sys-0002,sys-0009,2,DangerousPassage,Hazardous,
route-sys-0002-sys-0010-smuggling,sys-0002,sys-0010,3,SmugglingLane,Stable,hidden:smuggling
route-sys-0002-sys-0011-webway,sys-0002,sys-0011,4,Webway,Stable,hidden:webway
route-sys-0002-sys-0012-smuggling,sys-0002,sys-0012,3,SmugglingLane,Stable,hidden:smuggling
route-sys-0002-sys-0014-blackship,sys-0002,sys-0014,5,BlackShip,Stable,hidden:blackship
route-sys-0003-sys-0006-smuggling,sys-0003,sys-0006,5,SmugglingLane,Stable,hidden:smuggling
route-sys-0003-sys-0007,sys-0003,sys-0007,1,DangerousPassage,Hazardous,
route-sys-0003-sys-0010,sys-0003,sys-0010,3,ChartedPassage,Stable,
route-sys-0003-sys-0011-smuggling,sys-0003,sys-0011,3,SmugglingLane,Stable,hidden:smuggling
route-sys-0004-sys-0005,sys-0004,sys-0005,1,DangerousPassage,Hazardous,
route-sys-0004-sys-0008,sys-0004,sys-0008,1,ChartedPassage,Stable,
route-sys-0005-sys-0006-smuggling,sys-0005,sys-0006,3,SmugglingLane,Stable,hidden:smuggling
route-sys-0005-sys-0008,sys-0005,sys-0008,1,DangerousPassage,Hazardous,
route-sys-0005-sys-0009,sys-0005,sys-0009,2,DangerousPassage,Hazardous,
route-sys-0006-sys-0007-webway,sys-0006,sys-0007,5,Webway,Stable,hidden:webway
route-sys-0006-sys-0009,sys-0006,sys-0009,2,DangerousPassage,Hazardous,
route-sys-0006-sys-0010,sys-0006,sys-0010,2,DangerousPassage,Hazardous,
route-sys-0006-sys-0011-webway,sys-0006,sys-0011,3,Webway,Stable,hidden:webway
route-sys-0007-sys-0011,sys-0007,sys-0011,2,DangerousPassage,Hazardous,
route-sys-0007-sys-0014-blackship,sys-0007,sys-0014,4,BlackShip,Stable,hidden:blackship
route-sys-0007-sys-0023-webway,sys-0007,sys-0023,5,Webway,Stable,hidden:webway
route-sys-0009-sys-0012,sys-0009,sys-0012,1,DangerousPassage,Hazardous,
route-sys-0010-sys-0011,sys-0010,sys-0011,1,DangerousPassage,Hazardous,
route-sys-0010-sys-0013-smuggling,sys-0010,sys-0013,3,SmugglingLane,Stable,hidden:smuggling
route-sys-0010-sys-0014,sys-0010,sys-0014,2,ChartedPassage,Stable,
route-sys-0010-sys-0017,sys-0010,sys-0017,4,ChartedPassage,Unstable,
route-sys-0011-sys-0014,sys-0011,sys-0014,2,DangerousPassage,Hazardous,
route-sys-0011-sys-0023,sys-0011,sys-0023,4,DangerousPassage,Hazardous,bridge
route-sys-0012-sys-0013,sys-0012,sys-0013,2,DangerousPassage,Perilous,
route-sys-0012-sys-0016,sys-0012,sys-0016,2,DangerousPassage,Perilous,
route-sys-0012-sys-0017-smuggling,sys-0012,sys-0017,3,SmugglingLane,Stable,hidden:smuggling
route-sys-0013-sys-0014,sys-0013,sys-0014,1,DangerousPassage,Hazardous,
route-sys-0013-sys-0017,sys-0013,sys-0017,1,DangerousPassage,Hazardous,
route-sys-0013-sys-0021,sys-0013,sys-0021,2,DangerousPassage,Perilous,
route-sys-0013-sys-0022,sys-0013,sys-0022,2,DangerousPassage,Perilous,
