id,index,name,q,r,star_colour_code,star_colour_name,spectral_type,world_count,primary_factions,tags
sys-0001,1,Ysengrav,0,1,F,yellow-white,F,3,inquisitorial_henchmen;khorne_blood_cults;the_rusted_claw,
sys-0002,2,Cindral Maw,0,3,B,blue-white,B,6,ordo_sicarius;red_scorpions;mentors,
sys-0003,3,Orpheus Choir,0,9,B,blue-white,B,2,mordian_artillery_clades;belakors_disciples;primus_war_cells,
sys-0004,4,Anathraxis,1,0,A,white,A,3,schola_progenium;inquisitorial_storm_troopers;seeker_cavalcades,
sys-0005,5,Pious Reliquary,1,1,O,blue hypergiant,O,4,angels_sanguine;legio_oberon;renegade_navigators,
sys-0006,6,Cyrene Keeps,1,4,A,white,A,3,house_goliath;house_orlock;warp_spider_shrines,
sys-0007,7,Repentia,1,9,A,white,A,5,grey_knight_strike_forces;the_cleaved;forbidden_tome_circles,
sys-0008,8,Eremus Ward,2,0,A,white,A,6,blood_ravens;maccabian_janissaries;storm_trooper_cadres,
sys-0009,9,Barathrum Cradle,2,3,B,blue-white,B,2,vresh_grenadiers;lacrymole_shifters;ragged_helot_armies,
sys-0010,10,Hagiara,2,6,A,white,A,5,lord_governor_retinues;brontian_longknives;cadian_castellan_cadres,
sys-0011,11,Loricus Choir,2,7,B,blue-white,B,4,navigator_houses;faceless_trade;sunblitz_brotherhood,
sys-0012,12,Caedmon Pyre,3,3,A,white,A,4,lord_governor_retinues;brontian_longknives;demagogue_led_mobs,
sys-0013,13,Balefire Sepulchre,4,5,B,blue-white,B,4,imperial_administration;archaeotech_recovery_cohorts;tithe_breaker_coalitions,
sys-0014,14,Gravenor,4,6,B,blue-white,B,3,imperial_intelligence_cadres;monglor_ogryn_auxilia;death_cult_assassins,
sys-0015,15,Hilarion,5,1,A,white,A,3,outcast_tech_guilds;creations_of_bile;craftworld_lugganath_corsairs,
sys-0016,16,Aenoch Choir,5,2,B,blue-white,B,4,emperors_warbringers;kanak_skull_takers;corpse_starch_guilds,
sys-0017,17,Quirina,5,5,B,blue-white,B,6,free_traders;raven_guard;legio_destructor,
sys-0018,18,Aethra Gate,6,1,B,blue-white,B,5,roane_deepers;forge_world_gryphonne_iv_remnants;warlord_compact_armies,
sys-0019,19,Riven Lament,6,2,A,white,A,3,the_redacted_legion;poxwalker_hordes;exodite_clans,
sys-0020,20,Iconoclast Chain,6,3,A,white,A,6,valhallan_ice_warriors;legio_cybernetica;wyrd_coven_smugglers,
sys-0021,21,Castoria,6,4,A,white,A,2,poxwalker_hordes;waaagh_snagrod;the_crimson_slaughter,
sys-0022,22,Legionis Pyre,6,5,F,yellow-white,F,4,marines_errant;genetor_cults;poxwalker_hordes,
sys-0023,23,Orison Spire,6,8,O,blue hypergiant,O,3,emperors_warbringers;the_crimson_slaughter;harridan_sky_swarms,
sys-0024,24,Rhadam,7,7,B,blue-white,B,4,xenarite_tech_priests;weeping_legion;pink_horror_conflagrations,
