id,system_id,index,name,orbit,source_row_index,star_colour_code,world_type,atmosphere,temperature,biosphere,population,tech_level,government,notable_features,factions,tags
sys-0001-w01,sys-0001,1,Martyra,1,15,A,DeathWorld,Tainted,Hot,XenoHybrid,DenselyPopulated,High,MagistrateCouncil,EugenicCult;FactionalFragmentation;ExtremeEnvironment,inquisitorial_henchmen;angels_penitent;imperial_knights,atmosphere:tainted;biosphere:xeno_hybrid;feature:eugenic_cult;feature:extreme_environment;feature:factional_fragmentation;gov:magistrate_council;population:densely_populated;star:white;tech:high;temperature:hot;world_type:death_world
sys-0001-w02,sys-0001,2,Tiberion Mortis,2,8,A,AgriWorld,Breathable,Temperate,Thriving,LightlyPopulated,Standard,ExploratorAuthority,CivilWar;ChaosCultists;AlteredHumans,khorne_blood_cults,atmosphere:breathable;biosphere:thriving;feature:altered_humans;feature:chaos_cultists;feature:civil_war;gov:explorator_authority;population:lightly_populated;star:white;tech:standard;temperature:temperate;world_type:agri_world
sys-0001-w03,sys-0001,3,Obsidian Octavia,3,5,B,AgriWorld,Breathable,Cold,Minimal,SoleSettlement,Low,Demagogue,BlindingMists;CivilWar;AncientArchive,the_rusted_claw;hive_fleet_hydra,atmosphere:breathable;biosphere:minimal;feature:ancient_archive;feature:blinding_mists;feature:civil_war;gov:demagogue;population:sole_settlement;star:blue_white;tech:low;temperature:cold;world_type:agri_world
sys-0002-w01,sys-0002,1,Avernion,1,17,A,DeathWorld,Tainted,Hot,XenoHybrid,ExtremelyDense,XenoHybrid,Megacorporations,FactionalFragmentation;ExtremeEnvironment;EugenicCult,red_scorpions;armageddon_steel_legion;swooping_hawk_shrines,atmosphere:tainted;biosphere:xeno_hybrid;feature:eugenic_cult;feature:extreme_environment;feature:factional_fragmentation;gov:megacorporations;population:extremely_dense;star:white;tech:xeno_hybrid;temperature:hot;world_type:death_world
sys-0002-w02,sys-0002,2,Halcyra,2,3,B,AgriWorld,Breathable,Cold,Minimal,Minimal,Low,Communards,AncientTombs;BlindingMists;CelestialPhenomena,mentors,atmosphere:breathable;biosphere:minimal;feature:ancient_tombs;feature:blinding_mists;feature:celestial_phenomena;gov:communards;population:minimal;star:blue_white;tech:low;temperature:cold;world_type:agri_world
sys-0002-w03,sys-0002,3,Repentia,3,8,A,AgriWorld,Breathable,Temperate,Thriving,LightlyPopulated,Standard,ExploratorAuthority,CivilWar;AlteredHumans;AncientArchive,order_of_the_wounded_heart,atmosphere:breathable;biosphere:thriving;feature:altered_humans;feature:ancient_archive;feature:civil_war;gov:explorator_authority;population:lightly_populated;star:white;tech:standard;temperature:temperate;world_type:agri_world
sys-0002-w04,sys-0002,4,Aegisar Gate,4,9,A,AgriWorld,Corrosive,Temperate,Thriving,LightlyPopulated,Standard,GuildsCombine,ColdWar;CivilWar;ArchaeotechRuins,psyker_rights_movements,atmosphere:corrosive;biosphere:thriving;feature:archaeotech_ruins;feature:civil_war;feature:cold_war;gov:guilds_combine;population:lightly_populated;star:white;tech:standard;temperature:temperate;world_type:agri_world
sys-0002-w05,sys-0002,5,Ysengrav,5,11,A,BastionWorld,Thin,Temperate,Poisoned,DenselyPopulated,Standard,HereticalImperialCult,DaemonicCorruption;CrumblingArcologies;DangerousWildlife,void_nomad_flotillas;hive_fleet_kraken;corpse_grinder_cults,atmosphere:thin;biosphere:poisoned;feature:crumbling_arcologies;feature:daemonic_corruption;feature:dangerous_wildlife;gov:heretical_imperial_cult;population:densely_populated;star:white;tech:standard;temperature:temperate;world_type:bastion_world
sys-0002-w06,sys-0002,6,Arcadion Hive,6,8,A,AgriWorld,Breathable,Temperate,Thriving,LightlyPopulated,Standard,ExploratorAuthority,CivilWar;ColdWar;AlteredHumans,ordo_sicarius,atmosphere:breathable;biosphere:thriving;feature:altered_humans;feature:civil_war;feature:cold_war;gov:explorator_authority;population:lightly_populated;star:white;tech:standard;temperature:temperate;world_type:agri_world
sys-0003-w01,sys-0003,1,Katarion,1,8,A,AgriWorld,Breathable,Temperate,Thriving,LightlyPopulated,Standard,ExploratorAuthority,CivilWar;BlindingMists;CelestialPhenomena,belakors_disciples,atmosphere:breathable;biosphere:thriving;feature:blinding_mists;feature:celestial_phenomena;feature:civil_war;gov:explorator_authority;population:lightly_populated;star:white;tech:standard;temperature:temperate;world_type:agri_world
