id,from_system_id,to_system_id,distance,route_type,stability,tags
route-sys-0001-sys-0002,sys-0001,sys-0002,4,ChartedPassage,Unstable,
route-sys-0001-sys-0003-blackship,sys-0001,sys-0003,9,BlackShip,Stable,hidden:blackship
route-sys-0001-sys-0007-webway,sys-0001,sys-0007,7,Webway,Stable,hidden:webway
route-sys-0001-sys-0008-webway,sys-0001,sys-0008,5,Webway,Stable,hidden:webway
route-sys-0001-sys-0009-webway,sys-0001,sys-0009,4,Webway,Stable,hidden:webway
route-sys-0001-sys-0014-blackship,sys-0001,sys-0014,5,BlackShip,Stable,hidden:blackship
route-sys-0002-sys-0003-blackship,sys-0002,sys-0003,5,BlackShip,Stable,hidden:blackship
route-sys-0002-sys-0007,sys-0002,sys-0007,4,DangerousPassage,Hazardous,bridge
route-sys-0002-sys-0008,sys-0002,sys-0008,4,ChartedPassage,Unstable,
route-sys-0002-sys-0009-blackship,sys-0002,sys-0009,6,BlackShip,Stable,hidden:blackship
route-sys-0002-sys-0014-blackship,sys-0002,sys-0014,7,BlackShip,Stable,hidden:blackship
route-sys-0003-sys-0004,sys-0003,sys-0004,1,DangerousPassage,Hazardous,
route-sys-0003-sys-0005,sys-0003,sys-0005,1,ChartedPassage,Stable,
route-sys-0003-sys-0012,sys-0003,sys-0012,4,ChartedPassage,Unstable,
route-sys-0003-sys-0013,sys-0003,sys-0013,4,ChartedPassage,Unstable,
route-sys-0003-sys-0024-blackship,sys-0003,sys-0024,7,BlackShip,Stable,hidden:blackship
route-sys-0004-sys-0005,sys-0004,sys-0005,1,DangerousPassage,Hazardous,
route-sys-0004-sys-0006-smuggling,sys-0004,sys-0006,5,SmugglingLane,Stable,hidden:smuggling
route-sys-0004-sys-0007-webway,sys-0004,sys-0007,2,Webway,Stable,hidden:webway
route-sys-0004-sys-0008-webway,sys-0004,sys-0008,5,Webway,Stable,hidden:webway
route-sys-0004-sys-0012-smuggling,sys-0004,sys-0012,3,SmugglingLane,Stable,hidden:smuggling
route-sys-0004-sys-0017-webway,sys-0004,sys-0017,6,Webway,Stable,hidden:webway
route-sys-0005-sys-0011,sys-0005,sys-0011,4,ChartedPassage,Unstable,
route-sys-0005-sys-0012,sys-0005,sys-0012,3,ChartedPassage,Stable,
route-sys-0005-sys-0013,sys-0005,sys-0013,3,ChartedPassage,Stable,
route-sys-0006-sys-0008,sys-0006,sys-0008,1,DangerousPassage,Hazardous,
route-sys-0006-sys-0010-smuggling,sys-0006,sys-0010,3,SmugglingLane,Stable,hidden:smuggling
route-sys-0006-sys-0015-smuggling,sys-0006,sys-0015,3,SmugglingLane,Stable,hidden:smuggling
route-sys-0007-sys-0008-webway,sys-0007,sys-0008,4,Webway,Stable,hidden:webway
route-sys-0007-sys-0017-webway,sys-0007,sys-0017,4,Webway,Stable,hidden:webway
route-sys-0008-sys-0009-webway,sys-0008,sys-0009,3,Webway,Stable,hidden:webway
route-sys-0008-sys-0010,sys-0008,sys-0010,2,ChartedPassage,Stable,
route-sys-0008-sys-0011,sys-0008,sys-0011,3,ChartedPassage,Stable,
route-sys-0008-sys-0014,sys-0008,sys-0014,3,ChartedPassage,Stable,
route-sys-0008-sys-0015-smuggling,sys-0008,sys-0015,2,SmugglingLane,Stable,hidden:smuggling
route-sys-0008-sys-0017-webway,sys-0008,sys-0017,3,Webway,Stable,hidden:webway
route-sys-0008-sys-0021-webway,sys-0008,sys-0021,5,Webway,Stable,hidden:webway
route-sys-0008-sys-0023,sys-0008,sys-0023,4,ChartedPassage,Unstable,
route-sys-0009-sys-0010,sys-0009,sys-0010,1,DangerousPassage,Hazardous,
route-sys-0009-sys-0014,sys-0009,sys-0014,1,DangerousPassage,Hazardous,
route-sys-0009-sys-0017-webway,sys-0009,sys-0017,5,Webway,Stable,hidden:webway
route-sys-0009-sys-0021-webway,sys-0009,sys-0021,3,Webway,Stable,hidden:webway
route-sys-0009-sys-0022,sys-0009,sys-0022,4,DangerousPassage,Hazardous,bridge
route-sys-0009-sys-0024-blackship,sys-0009,sys-0024,8,BlackShip,Stable,hidden:blackship
route-sys-0010-sys-0014,sys-0010,sys-0014,1,ChartedPassage,Stable,
route-sys-0010-sys-0015-smuggling,sys-0010,sys-0015,2,SmugglingLane,Stable,hidden:smuggling
route-sys-0010-sys-0019-smuggling,sys-0010,sys-0019,2,SmugglingLane,Stable,hidden:smuggling
route-sys-0010-sys-0021,sys-0010,sys-0021,3,ChartedPassage,Stable,
route-sys-0010-sys-0023,sys-0010,sys-0023,3,ChartedPassage,Stable,
route-sys-0011-sys-0012,sys-0011,sys-0012,2,ChartedPassage,Stable,
route-sys-0011-sys-0013,sys-0011,sys-0013,3,ChartedPassage,Stable,
route-sys-0011-sys-0020,sys-0011,sys-0020,3,ChartedPassage,Stable,
route-sys-0011-sys-0024,sys-0011,sys-0024,4,DangerousPassage,Hazardous,bridge
route-sys-0012-sys-0013,sys-0012,sys-0013,1,ChartedPassage,Stable,
route-sys-0012-sys-0017-smuggling,sys-0012,sys-0017,3,SmugglingLane,Stable,hidden:smuggling
route-sys-0012-sys-0020,sys-0012,sys-0020,2,ChartedPassage,Stable,
route-sys-0012-sys-0024-smuggling,sys-0012,sys-0024,3,SmugglingLane,Stable,hidden:smuggling
route-sys-0013-sys-0018,sys-0013,sys-0018,1,DangerousPassage,Hazardous,
route-sys-0013-sys-0020,sys-0013,sys-0020,2,ChartedPassage,Stable,
route-sys-0014-sys-0019-smuggling,sys-0014,sys-0019,2,SmugglingLane,Stable,hidden:smuggling
route-sys-0014-sys-0021,sys-0014,sys-0021,2,ChartedPassage,Stable,
route-sys-0014-sys-0023,sys-0014,sys-0023,3,ChartedPassage,Stable,
route-sys-0014-sys-0024-blackship,sys-0014,sys-0024,8,BlackShip,Stable,hidden:blackship
route-sys-0015-sys-0016,sys-0015,sys-0016,1,DangerousPassage,Hazardous,
route-sys-0015-sys-0017-smuggling,sys-0015,sys-0017,2,SmugglingLane,Stable,hidden:smuggling
route-sys-0015-sys-0019,sys-0015,sys-0019,1,DangerousPassage,Hazardous,
route-sys-0015-sys-0023-smuggling,sys-0015,sys-0023,2,SmugglingLane,Stable,hidden:smuggling
route-sys-0015-sys-0024-smuggling,sys-0015,sys-0024,5,SmugglingLane,Stable,hidden:smuggling
route-sys-0016-sys-0017,sys-0016,sys-0017,1,DangerousPassage,Hazardous,
route-sys-0017-sys-0021-webway,sys-0017,sys-0021,5,Webway,Stable,hidden:webway
route-sys-0017-sys-0024-smuggling,sys-0017,sys-0024,3,SmugglingLane,Stable,hidden:smuggling
route-sys-0018-sys-0020,sys-0018,sys-0020,1,DangerousPassage,Hazardous,
route-sys-0019-sys-0023,sys-0019,sys-0023,1,DangerousPassage,Hazardous,
route-sys-0021-sys-0023,sys-0021,sys-0023,2,ChartedPassage,Stable,
