id,index,name,q,r,star_colour_code,star_colour_name,spectral_type,world_count,primary_factions,tags
sys-0001,1,Ignatius Orison,0,0,F,yellow-white,F,6,marauders_chapter;gorechosen_of_khorne;phoenix_conclave,
sys-0002,2,Illiara,0,4,B,blue-white,B,2,puritan_inquisitors;valhallan_ice_warriors,
sys-0003,3,Radamanth March,0,9,B,blue-white,B,4,adeptus_astra_telepathica;ordo_astartes;freeport_cartels,
sys-0004,4,Acerbius Beacon,1,8,A,white,A,6,adeptus_terra;marines_errant;fulgurite_electro_priests,
sys-0005,5,Hemlock Sarcophagus,1,9,B,blue-white,B,3,kasrkin_companies;rogue_trader_militant_houses;demiurg_allies,
sys-0006,6,Penitentia,2,3,B,blue-white,B,5,battlefleet_calixis;merchant_fleet_combine;angels_of_redemption,
sys-0007,7,Avernus Harbor,2,7,B,blue-white,B,4,legion_of_the_damned;legio_mortis;followers_of_ynnead,
sys-0008,8,Benedict Crucible,3,3,A,white,A,6,armageddon_steel_legion;xenos_artifact_dealers;black_legion,
sys-0009,9,Zephon Crag,4,0,O,blue hypergiant,O,6,indigan_praefects;eversor_temple;legion_of_the_damned,
sys-0010,10,Purgata,4,1,A,white,A,2,mordant_acid_dogs;guevesa_auxiliaries;ratskin_renegades,
sys-0011,11,Carceron,4,6,B,blue-white,B,2,confessor_retinues;iron_snakes;hive_fleet_naga,
sys-0012,12,Apollyon Veil,4,8,F,yellow-white,F,5,mortifactors;astra_militarum;imperial_armour_brigades,
sys-0013,13,Orison,4,9,B,blue-white,B,3,seraphim_choirs;chronomancer_circles;tau_human_protectorates,
sys-0014,14,Cyrene Citadel,5,0,O,blue hypergiant,O,4,serrated_query;dark_skitarii;beast_snaggas,
sys-0015,15,Tarsus Gate,5,3,A,white,A,4,free_traders;adeptus_astronomica;order_of_the_bloody_rose,
sys-0016,16,Cindralis,5,4,A,white,A,2,scion_drop_commandos;moebian_sixth;malefic_choirs,
sys-0017,17,Hypnoria,5,5,A,white,A,5,imperial_administration;charnel_guard;naval_press_gangs,
sys-0018,18,Reliquon,5,9,A,white,A,2,ecclesiarchy;vresh_grenadiers,
sys-0019,19,Ravener Keep,6,2,O,blue hypergiant,O,3,penitent_engine_choirs;anti_tithe_leagues;cultist_artillery_batteries,
sys-0020,20,Seraphis,6,8,O,blue hypergiant,O,2,xenos_threat;maccabian_janissaries;emperors_children,
sys-0021,21,Cassiath,7,0,B,blue-white,B,5,roane_deepers;dockyard_guilds;cult_of_time,
sys-0022,22,Graven Lantern,7,1,O,blue hypergiant,O,4,tome_keepers;legio_tempestus;chartist_guilds,
sys-0023,23,Berynth Hold,7,2,B,blue-white,B,3,consecrators;chaos_undivided_cults;drukhari,
sys-0024,24,Phlegethon Lantern,7,8,A,white,A,5,puritan_inquisitors;serberys_raider_clades;deep_void_miners,
