id,index,name,q,r,star_colour_code,star_colour_name,spectral_type,world_count,primary_factions,tags
sys-0001,1,Vigilus,1,0,A,white,A,2,chartist_captains;mutilator_cabals,
sys-0002,2,Null Chain,1,2,A,white,A,3,subductor_squads;questor_mechanicus_households;naval_press_gangs,
sys-0003,3,Halcyon Sanctuary,1,6,F,yellow-white,F,2,imperial_armoury_guilds;voidfarer_clans;demagogue_led_mobs,
sys-0004,4,Coronid Canticle,1,9,B,blue-white,B,2,death_korps_of_krieg;moebian_sixth;sector_lord_militant_staff,
sys-0005,5,Kythera,3,0,B,blue-white,B,3,imperial_noble_houses;questor_imperialis_households;frontier_alien_protectorates,
sys-0006,6,Fervent Gate,3,5,A,white,A,3,imperial_saint_cults;merchant_fleet_combine;ecclesiarchy_battle_choirs,
sys-0007,7,Flagellant Tomb,3,8,O,blue hypergiant,O,5,fire_angels;tallarn_desert_raiders;knight_seneschal_courts,
sys-0008,8,Riven Monastery,4,0,B,blue-white,B,3,imperial_intelligence_cadres;sons_of_antaeus;snakebites_clan,
sys-0009,9,Colchyr,4,3,A,white,A,2,rough_rider_clans;daemonhost_cabals;basilisk_artillery_trains,
sys-0010,10,Tempestus,4,6,B,blue-white,B,3,vresh_grenadiers;order_of_the_ebon_chalice;arch_arsonist_of_charadons_horde,
sys-0011,11,Acherontia,4,7,A,white,A,4,fire_lords;ratling_scout_cadres;unclean_siege_regiments,
sys-0012,12,Oculus,4,9,A,white,A,4,vitrian_dragoons;malefic_choirs;unclean_siege_regiments,
sys-0013,13,Ignisar,5,5,O,blue hypergiant,O,3,heretek_prophet_cults;tau_client_worlds;traitor_navy_armsmen,
sys-0014,14,Amaraxis,6,2,A,white,A,5,aquilan_shield;companions_of_the_emperor;rough_rider_clans,
sys-0015,15,Irehold,6,3,A,white,A,4,raptors;ratling_scout_cadres;arco_flagellant_processions,
sys-0016,16,Demetriax,6,5,A,white,A,4,reclaimator_cabals;witch_covens;mekboy_guilds,
sys-0017,17,Ambrus,6,6,A,white,A,6,segmentum_command;forge_temple_militias;guild_navigators,
sys-0018,18,Tenebra,6,7,A,white,A,4,penitent_engine_choirs;promethium_combine;unclean_siege_regiments,
sys-0019,19,Eosphor Rampart,6,8,B,blue-white,B,6,armageddon_steel_legion;mordant_acid_dogs;beastmen_fellgor_ravagers,
sys-0020,20,Sarum Pass,7,1,A,white,A,2,monglor_ogryn_auxilia;stigmartus_regiments;oathbound_mercenaries,
sys-0021,21,Obdura,7,2,A,white,A,4,chartist_captains;knights_of_blood;halo_device_cults,
sys-0022,22,Ymir Yard,7,3,B,blue-white,B,3,ebon_knights;forge_world_metalica;tzeentch_covenants,
sys-0023,23,Gaelion,7,5,O,blue hypergiant,O,6,officio_assassinorum;legio_destructor;possessed_worker_cells,
sys-0024,24,Riven Verge,7,9,A,white,A,4,mordian_artillery_clades;skitarii_legions;hybrid_metamorph_hosts,
