id,system_id,index,name,orbit,source_row_index,star_colour_code,world_type,atmosphere,temperature,biosphere,population,tech_level,government,notable_features,factions,tags
sys-0001-w01,sys-0001,1,Lethean Cairn,1,2,B,AgriWorld,Breathable,Cold,Nonexistent,Minimal,Low,ClansTribes,AncientArchive;CivilWar;BlindingMists,chartist_captains,atmosphere:breathable;biosphere:nonexistent;feature:ancient_archive;feature:blinding_mists;feature:civil_war;gov:clans_tribes;population:minimal;star:blue_white;tech:low;temperature:cold;world_type:agri_world
sys-0001-w02,sys-0001,2,Witching Cathedris Sextus,2,8,A,AgriWorld,Breathable,Temperate,Thriving,LightlyPopulated,Standard,ExploratorAuthority,CivilWar;CelestialPhenomena;ChaosCultists,mutilator_cabals,atmosphere:breathable;biosphere:thriving;feature:celestial_phenomena;feature:chaos_cultists;feature:civil_war;gov:explorator_authority;population:lightly_populated;star:white;tech:standard;temperature:temperate;world_type:agri_world
sys-0002-w01,sys-0002,1,Umbralis Gate,1,1,O,AgriWorld,Airless,Cold,Nonexistent,Minimal,Primitive,ChaosCult,AlteredHumans;CivilWar;Abhumans,questor_mechanicus_households,atmosphere:airless;biosphere:nonexistent;feature:abhumans;feature:altered_humans;feature:civil_war;gov:chaos_cult;population:minimal;star:blue_hypergiant;tech:primitive;temperature:cold;world_type:agri_world
sys-0002-w02,sys-0002,2,Final Avitus,2,15,A,DeathWorld,Tainted,Hot,XenoHybrid,DenselyPopulated,High,MagistrateCouncil,EugenicCult;ExtremeEnvironment;FactionalFragmentation,subductor_squads;cardinal_worlds_guard;guilds_of_the_helican_subsector,atmosphere:tainted;biosphere:xeno_hybrid;feature:eugenic_cult;feature:extreme_environment;feature:factional_fragmentation;gov:magistrate_council;population:densely_populated;star:white;tech:high;temperature:hot;world_type:death_world
sys-0002-w03,sys-0002,3,Beryntha,3,17,A,DeathWorld,Tainted,Hot,XenoHybrid,ExtremelyDense,XenoHybrid,Megacorporations,FactionalFragmentation;EugenicCult;ExtremeEnvironment,naval_press_gangs;lictor_vanguard_organisms;revolutionary_preachers,atmosphere:tainted;biosphere:xeno_hybrid;feature:eugenic_cult;feature:extreme_environment;feature:factional_fragmentation;gov:megacorporations;population:extremely_dense;star:white;tech:xeno_hybrid;temperature:hot;world_type:death_world
sys-0003-w01,sys-0003,1,Apollyra,1,11,A,BastionWorld,Thin,Temperate,Poisoned,DenselyPopulated,Standard,HereticalImperialCult,DaemonicCorruption;CrumblingArcologies;DangerousWildlife,voidfarer_clans;blood_pact;phantine_air_corps,atmosphere:thin;biosphere:poisoned;feature:crumbling_arcologies;feature:daemonic_corruption;feature:dangerous_wildlife;gov:heretical_imperial_cult;population:densely_populated;star:white;tech:standard;temperature:temperate;world_type:bastion_world
sys-0003-w02,sys-0003,2,Zanthis,2,6,B,AgriWorld,Breathable,Temperate,Minimal,SoleSettlement,Low,EcclesiarchicalAppointee,CelestialPhenomena;Abhumans;AlteredHumans,imperial_armoury_guilds;demagogue_led_mobs,atmosphere:breathable;biosphere:minimal;feature:abhumans;feature:altered_humans;feature:celestial_phenomena;gov:ecclesiarchical_appointee;population:sole_settlement;star:blue_white;tech:low;temperature:temperate;world_type:agri_world
sys-0004-w01,sys-0004,1,Penitent Arctyra Fane,1,5,B,AgriWorld,Breathable,Cold,Minimal,SoleSettlement,Low,Demagogue,BlindingMists;ColdWar;CelestialPhenomena,death_korps_of_krieg;sector_lord_militant_staff,atmosphere:breathable;biosphere:minimal;feature:blinding_mists;feature:celestial_phenomena;feature:cold_war;gov:demagogue;population:sole_settlement;star:blue_white;tech:low;temperature:cold;world_type:agri_world
sys-0004-w02,sys-0004,2,Penitent Infernis,2,3,B,AgriWorld,Breathable,Cold,Minimal,Minimal,Low,Communards,AncientTombs;BlindingMists;ColdWar,moebian_sixth,atmosphere:breathable;biosphere:minimal;feature:ancient_tombs;feature:blinding_mists;feature:cold_war;gov:communards;population:minimal;star:blue_white;tech:low;temperature:cold;world_type:agri_world
sys-0005-w01,sys-0005,1,Sepulchral Cindralis,1,10,A,BastionWorld,Exotic,Temperate,Thriving,LightlyPopulated,Standard,Hereteks,CrumblingArcologies;DaemonicCorruption;DangerousWildlife,imperial_noble_houses,atmosphere:exotic;biosphere:thriving;feature:crumbling_arcologies;feature:daemonic_corruption;feature:dangerous_wildlife;gov:hereteks;population:lightly_populated;star:white;tech:standard;temperature:temperate;world_type:bastion_world
sys-0005-w02,sys-0005,2,Eremia,2,17,A,DeathWorld,Tainted,Hot,XenoHybrid,ExtremelyDense,XenoHybrid,Megacorporations,FactionalFragmentation;ExtremeEnvironment;EugenicCult,frontier_alien_protectorates;space_wolves;silica_animus_cabals,atmosphere:tainted;biosphere:xeno_hybrid;feature:eugenic_cult;feature:extreme_environment;feature:factional_fragmentation;gov:megacorporations;population:extremely_dense;star:white;tech:xeno_hybrid;temperature:hot;world_type:death_world
sys-0005-w03,sys-0005,3,Albia,3,8,A,AgriWorld,Breathable,Temperate,Thriving,LightlyPopulated,Standard,ExploratorAuthority,CivilWar;ArchaeotechRuins;BlindingMists,questor_imperialis_households,atmosphere:breathable;biosphere:thriving;feature:archaeotech_ruins;feature:blinding_mists;feature:civil_war;gov:explorator_authority;population:lightly_populated;star:white;tech:standard;temperature:temperate;world_type:agri_world
sys-0006-w01,sys-0006,1,Lacrimor,1,10,A,BastionWorld,Exotic,Temperate,Thriving,LightlyPopulated,Standard,Hereteks,CrumblingArcologies;DaemonicCorruption;DangerousWildlife,imperial_saint_cults,atmosphere:exotic;biosphere:thriving;feature:crumbling_arcologies;feature:daemonic_corruption;feature:dangerous_wildlife;gov:hereteks;population:lightly_populated;star:white;tech:standard;temperature:temperate;world_type:bastion_world
sys-0006-w02,sys-0006,2,Infernis Crown,2,10,A,BastionWorld,Exotic,Temperate,Thriving,LightlyPopulated,Standard,Hereteks,CrumblingArcologies;DangerousWildlife;DaemonicCorruption,ecclesiarchy_battle_choirs,atmosphere:exotic;biosphere:thriving;feature:crumbling_arcologies;feature:daemonic_corruption;feature:dangerous_wildlife;gov:hereteks;population:lightly_populated;star:white;tech:standard;temperature:temperate;world_type:bastion_world
sys-0006-w03,sys-0006,3,Lazaria,3,7,B,AgriWorld,Breathable,Temperate,Thriving,LightlyPopulated,Standard,ElitistTyrant,ChaosCultists;CelestialPhenomena;BlindingMists,merchant_fleet_combine,atmosphere:breathable;biosphere:thriving;feature:blinding_mists;feature:celestial_phenomena;feature:chaos_cultists;gov:elitist_tyrant;population:lightly_populated;star:blue_white;tech:standard;temperature:temperate;world_type:agri_world
sys-0007-w01,sys-0007,1,Alarion Sextus,1,5,B,AgriWorld,Breathable,Cold,Minimal,SoleSettlement,Low,Demagogue,BlindingMists;CivilWar;AncientArchive,tallarn_desert_raiders;flash_gitz,atmosphere:breathable;biosphere:minimal;feature:ancient_archive;feature:blinding_mists;feature:civil_war;gov:demagogue;population:sole_settlement;star:blue_white;tech:low;temperature:cold;world_type:agri_world
sys-0007-w02,sys-0007,2,Omen Hypnoria,2,0,O,AgriWorld,Airless,Freezing,Nonexistent,Uninhabited,Primitive,BalkanizedLocalFactions,Abhumans;BlindingMists;AncientArchive,,atmosphere:airless;biosphere:nonexistent;feature:abhumans;feature:ancient_archive;feature:blinding_mists;gov:balkanized_local_factions;population:uninhabited;star:blue_hypergiant;tech:primitive;temperature:freezing;world_type:agri_world
sys-0007-w03,sys-0007,3,Infernis,3,6,B,AgriWorld,Breathable,Temperate,Minimal,SoleSettlement,Low,EcclesiarchicalAppointee,CelestialPhenomena;BlindingMists;AncientArchive,fire_angels;order_of_our_martyred_lady,atmosphere:breathable;biosphere:minimal;feature:ancient_archive;feature:blinding_mists;feature:celestial_phenomena;gov:ecclesiarchical_appointee;population:sole_settlement;star:blue_white;tech:low;temperature:temperate;world_type:agri_world
sys-0007-w04,sys-0007,4,Mourning Drusant March,4,6,B,AgriWorld,Breathable,Temperate,Minimal,SoleSettlement,Low,EcclesiarchicalAppointee,CelestialPhenomena;CivilWar;Abhumans,knight_seneschal_courts;adeptus_astronomica,atmosphere:breathable;biosphere:minimal;feature:abhumans;feature:celestial_phenomena;feature:civil_war;gov:ecclesiarchical_appointee;population:sole_settlement;star:blue_white;tech:low;temperature:temperate;world_type:agri_world
