id,from_system_id,to_system_id,distance,route_type,stability,tags
route-sys-0001-sys-0003,sys-0001,sys-0003,1,DangerousPassage,Hazardous,
route-sys-0001-sys-0004,sys-0001,sys-0004,1,DangerousPassage,Hazardous,
route-sys-0001-sys-0005-webway,sys-0001,sys-0005,3,Webway,Stable,hidden:webway
route-sys-0001-sys-0006-webway,sys-0001,sys-0006,3,Webway,Stable,hidden:webway
route-sys-0001-sys-0007,sys-0001,sys-0007,2,DangerousPassage,Hazardous,
route-sys-0001-sys-0008,sys-0001,sys-0008,2,DangerousPassage,Hazardous,
route-sys-0001-sys-0011-webway,sys-0001,sys-0011,4,Webway,Stable,hidden:webway
route-sys-0002-sys-0005,sys-0002,sys-0005,1,DangerousPassage,Hazardous,
route-sys-0002-sys-0009,sys-0002,sys-0009,2,DangerousPassage,Hazardous,
route-sys-0003-sys-0004,sys-0003,sys-0004,1,DangerousPassage,Hazardous,
route-sys-0003-sys-0006,sys-0003,sys-0006,2,DangerousPassage,Hazardous,
route-sys-0003-sys-0007,sys-0003,sys-0007,2,DangerousPassage,Perilous,
route-sys-0003-sys-0008,sys-0003,sys-0008,2,DangerousPassage,Perilous,
route-sys-0003-sys-0010,sys-0003,sys-0010,2,DangerousPassage,Perilous,
route-sys-0003-sys-0012,sys-0003,sys-0012,4,DangerousPassage,Hazardous,bridge
route-sys-0004-sys-0006-smuggling,sys-0004,sys-0006,3,SmugglingLane,Stable,hidden:smuggling
route-sys-0004-sys-0007,sys-0004,sys-0007,1,DangerousPassage,Hazardous,
route-sys-0004-sys-0008,sys-0004,sys-0008,1,ChartedPassage,Stable,
route-sys-0004-sys-0011,sys-0004,sys-0011,3,ChartedPassage,Stable,
route-sys-0004-sys-0013,sys-0004,sys-0013,4,ChartedPassage,Unstable,
route-sys-0004-sys-0024-blackship,sys-0004,sys-0024,8,BlackShip,Stable,hidden:blackship
route-sys-0005-sys-0006-webway,sys-0005,sys-0006,6,Webway,Stable,hidden:webway
route-sys-0005-sys-0008-webway,sys-0005,sys-0008,2,Webway,Stable,hidden:webway
route-sys-0005-sys-0011-webway,sys-0005,sys-0011,2,Webway,Stable,hidden:webway
route-sys-0005-sys-0024-webway,sys-0005,sys-0024,7,Webway,Stable,hidden:webway
route-sys-0006-sys-0007-smuggling,sys-0006,sys-0007,3,SmugglingLane,Stable,hidden:smuggling
route-sys-0006-sys-0008-webway,sys-0006,sys-0008,4,Webway,Stable,hidden:webway
route-sys-0006-sys-0012-smuggling,sys-0006,sys-0012,3,SmugglingLane,Stable,hidden:smuggling
route-sys-0006-sys-0017-smuggling,sys-0006,sys-0017,5,SmugglingLane,Stable,hidden:smuggling
route-sys-0006-sys-0019-smuggling,sys-0006,sys-0019,6,SmugglingLane,Stable,hidden:smuggling
route-sys-0006-sys-0020-webway,sys-0006,sys-0020,6,Webway,Stable,hidden:webway
route-sys-0007-sys-0008,sys-0007,sys-0008,1,DangerousPassage,Hazardous,
