id,index,name,q,r,star_colour_code,star_colour_name,spectral_type,world_count,primary_factions,tags
sys-0001,1,Gethsemane March,0,5,O,blue hypergiant,O,5,merchant_fleet_combine;scintillan_fusiliers;forge_temple_militias,
sys-0002,2,Caedmon Terminus,0,9,B,blue-white,B,4,tanith_first_and_only;prospector_leagues;thousand_sons,
sys-0003,3,Ursae,1,4,A,white,A,2,brontian_longknives;promethium_combine,
sys-0004,4,Ordo Mourn,1,5,B,blue-white,B,5,geno_five_two_chiliad;order_of_the_ebon_chalice;warlord_compact_armies,
sys-0005,5,Honorata,1,8,A,white,A,5,mordian_iron_guard;elysian_drop_troops;scion_drop_commandos,
sys-0006,6,Quartus Hollow,2,2,B,blue-white,B,3,webway_gate_wardens;nekthyst_dynasty;aberrant_broods,
sys-0007,7,Chrysal,2,5,B,blue-white,B,6,harakoni_warhawks;militarum_tempestus;house_malinax,
sys-0008,8,Ursae II,2,6,A,white,A,3,prince_yriels_eldritch_raiders;splinter_fleet_tiamet_guardians;aberrant_broods,
sys-0009,9,Lorican,2,9,B,blue-white,B,2,penitent_engine_choirs;legio_fureans;hydraphur_naval_armsmen,
sys-0010,10,Calibryx,3,4,A,white,A,5,angels_encarmine;warp_talon_packs;beast_snaggas,
sys-0011,11,Oubliette Forge,3,8,A,white,A,4,feudal_reaver_kingdoms;palatine_blades_reborn;craftworld_altansar,
sys-0012,12,Icarion,4,3,A,white,A,5,imperial_administration;chaos_undivided_cults;pale_procession,
sys-0013,13,Numitor Anchorage,4,8,A,white,A,4,baneblade_super_heavy_companies;relictors_radical_cells;ruinous_shrine_keepers,
sys-0014,14,Castravia,4,9,B,blue-white,B,4,hospitallers_chapter;corpse_starch_guilds;plague_zombie_mobs,
sys-0015,15,Cocytia,5,7,A,white,A,2,navigator_houses;sarnek_dynasty,
sys-0016,16,Invicta,5,8,A,white,A,2,bloodletter_legions;hunter_cadres;libators,
sys-0017,17,Harrow Rampart,6,0,O,blue hypergiant,O,6,house_orhlacc;renegade_penal_legions;legio_laniaskara,
sys-0018,18,Astreon Sarcophagus,6,3,A,white,A,3,dark_angels;baneblade_super_heavy_companies;corpuscarii_electro_priests,
sys-0019,19,Veneris,7,0,A,white,A,4,tempestus_scions;armageddon_steel_legion;geno_five_two_chiliad,
sys-0020,20,Iconoclast Redoubt,7,1,A,white,A,2,the_tainted;autarch_warhosts;imperial_tithe_authority,
sys-0021,21,Andronicus Harbor,7,5,B,blue-white,B,4,segmentum_command;emperors_warbringers;chem_dogs_of_savlar,
sys-0022,22,Tarsus Fastness,7,7,A,white,A,5,free_traders;cadian_whiteshields;ogryn_auxilia,
sys-0023,23,Gorgo Obelisk,7,8,A,white,A,3,cadian_castellan_cadres;warp_tainted_pilgrims;lootas,
sys-0024,24,Arctyra,7,9,A,white,A,4,legion_of_the_damned;elysian_drop_troops;planetary_liberation_fronts,
