id,system_id,index,name,orbit,source_row_index,star_colour_code,world_type,atmosphere,temperature,biosphere,population,tech_level,government,notable_features,factions,tags
sys-0001-w01,sys-0001,1,Cold Calibryx,1,12,A,BastionWorld,Thin,Temperate,Poisoned,DenselyPopulated,Standard,InfractionistGang,DangerousWildlife;CrumblingArcologies;DaemonicCorruption,scintillan_fusiliers;carcharodons_astra;mordant_acid_dogs,atmosphere:thin;biosphere:poisoned;feature:crumbling_arcologies;feature:daemonic_corruption;feature:dangerous_wildlife;gov:infractionist_gang;population:densely_populated;star:white;tech:standard;temperature:temperate;world_type:bastion_world
sys-0001-w02,sys-0001,2,Dominicar,2,7,B,AgriWorld,Breathable,Temperate,Thriving,LightlyPopulated,Standard,ElitistTyrant,ChaosCultists;BlindingMists;CivilWar,merchant_fleet_combine,atmosphere:breathable;biosphere:thriving;feature:blinding_mists;feature:chaos_cultists;feature:civil_war;gov:elitist_tyrant;population:lightly_populated;star:blue_white;tech:standard;temperature:temperate;world_type:agri_world
sys-0001-w03,sys-0001,3,Antioxa Decimus,3,10,A,BastionWorld,Exotic,Temperate,Thriving,LightlyPopulated,Standard,Hereteks,CrumblingArcologies;DaemonicCorruption;DangerousWildlife,forge_temple_militias,atmosphere:exotic;biosphere:thriving;feature:crumbling_arcologies;feature:daemonic_corruption;feature:dangerous_wildlife;gov:hereteks;population:lightly_populated;star:white;tech:standard;temperature:temperate;world_type:bastion_world
sys-0001-w04,sys-0001,4,Obsidian Bellor Outer,4,1,O,AgriWorld,Airless,Cold,Nonexistent,Minimal,Primitive,ChaosCult,AlteredHumans;ChaosCultists;CelestialPhenomena,craftworld_iybraesil,atmosphere:airless;biosphere:nonexistent;feature:altered_humans;feature:celestial_phenomena;feature:chaos_cultists;gov:chaos_cult;population:minimal;star:blue_hypergiant;tech:primitive;temperature:cold;world_type:agri_world
sys-0001-w05,sys-0001,5,Tempestus Depot,5,17,A,DeathWorld,Tainted,Hot,XenoHybrid,ExtremelyDense,XenoHybrid,Megacorporations,FactionalFragmentation;EugenicCult;ExtremeEnvironment,daemons_of_nurgle;adepta_famulous;tankbusta_mobs,atmosphere:tainted;biosphere:xeno_hybrid;feature:eugenic_cult;feature:extreme_environment;feature:factional_fragmentation;gov:megacorporations;population:extremely_dense;star:white;tech:xeno_hybrid;temperature:hot;world_type:death_world
sys-0002-w01,sys-0002,1,Wardis,1,10,A,BastionWorld,Exotic,Temperate,Thriving,LightlyPopulated,Standard,Hereteks,CrumblingArcologies;DaemonicCorruption;DangerousWildlife,great_unclean_one_courts,atmosphere:exotic;biosphere:thriving;feature:crumbling_arcologies;feature:daemonic_corruption;feature:dangerous_wildlife;gov:hereteks;population:lightly_populated;star:white;tech:standard;temperature:temperate;world_type:bastion_world
sys-0002-w02,sys-0002,2,Corvax,2,10,A,BastionWorld,Exotic,Temperate,Thriving,LightlyPopulated,Standard,Hereteks,CrumblingArcologies;DaemonicCorruption;DangerousWildlife,tanith_first_and_only,atmosphere:exotic;biosphere:thriving;feature:crumbling_arcologies;feature:daemonic_corruption;feature:dangerous_wildlife;gov:hereteks;population:lightly_populated;star:white;tech:standard;temperature:temperate;world_type:bastion_world
sys-0002-w03,sys-0002,3,Crimson Lacuna Spire,3,8,A,AgriWorld,Breathable,Temperate,Thriving,LightlyPopulated,Standard,ExploratorAuthority,CivilWar;AncientArchive;CelestialPhenomena,thousand_sons,atmosphere:breathable;biosphere:thriving;feature:ancient_archive;feature:celestial_phenomena;feature:civil_war;gov:explorator_authority;population:lightly_populated;star:white;tech:standard;temperature:temperate;world_type:agri_world
sys-0002-w04,sys-0002,4,Cruciar,4,4,B,AgriWorld,Breathable,Cold,Minimal,SoleSettlement,Low,CorruptAristocrats,ArchaeotechRuins;CivilWar;ColdWar,prospector_leagues;emperors_children_loyalist_remnants,atmosphere:breathable;biosphere:minimal;feature:archaeotech_ruins;feature:civil_war;feature:cold_war;gov:corrupt_aristocrats;population:sole_settlement;star:blue_white;tech:low;temperature:cold;world_type:agri_world
sys-0003-w01,sys-0003,1,High Calibryx,1,10,A,BastionWorld,Exotic,Temperate,Thriving,LightlyPopulated,Standard,Hereteks,CrumblingArcologies;DaemonicCorruption;DangerousWildlife,brontian_longknives,atmosphere:exotic;biosphere:thriving;feature:crumbling_arcologies;feature:daemonic_corruption;feature:dangerous_wildlife;gov:hereteks;population:lightly_populated;star:white;tech:standard;temperature:temperate;world_type:bastion_world
sys-0003-w02,sys-0003,2,Eirenar Choir,2,3,B,AgriWorld,Breathable,Cold,Minimal,Minimal,Low,Communards,AncientTombs;BlindingMists;CivilWar,promethium_combine,atmosphere:breathable;biosphere:minimal;feature:ancient_tombs;feature:blinding_mists;feature:civil_war;gov:communards;population:minimal;star:blue_white;tech:low;temperature:cold;world_type:agri_world
sys-0004-w01,sys-0004,1,Eremia,1,7,B,AgriWorld,Breathable,Temperate,Thriving,LightlyPopulated,Standard,ElitistTyrant,ChaosCultists;CivilWar;BlindingMists,warlord_compact_armies,atmosphere:breathable;biosphere:thriving;feature:blinding_mists;feature:chaos_cultists;feature:civil_war;gov:elitist_tyrant;population:lightly_populated;star:blue_white;tech:standard;temperature:temperate;world_type:agri_world
sys-0004-w02,sys-0004,2,Oculus,2,2,B,AgriWorld,Breathable,Cold,Nonexistent,Minimal,Low,ClansTribes,AncientArchive;AlteredHumans;CivilWar,geno_five_two_chiliad,atmosphere:breathable;biosphere:nonexistent;feature:altered_humans;feature:ancient_archive;feature:civil_war;gov:clans_tribes;population:minimal;star:blue_white;tech:low;temperature:cold;world_type:agri_world
sys-0004-w03,sys-0004,3,Caedara,3,7,B,AgriWorld,Breathable,Temperate,Thriving,LightlyPopulated,Standard,ElitistTyrant,ChaosCultists;BlindingMists;ArchaeotechRuins,possessed_hosts,atmosphere:breathable;biosphere:thriving;feature:archaeotech_ruins;feature:blinding_mists;feature:chaos_cultists;gov:elitist_tyrant;population:lightly_populated;star:blue_white;tech:standard;temperature:temperate;world_type:agri_world
sys-0004-w04,sys-0004,4,Grave Ligeion Dolor,4,6,B,AgriWorld,Breathable,Temperate,Minimal,SoleSettlement,Low,EcclesiarchicalAppointee,CelestialPhenomena;BlindingMists;CivilWar,order_of_the_ebon_chalice;praetorian_guard,atmosphere:breathable;biosphere:minimal;feature:blinding_mists;feature:celestial_phenomena;feature:civil_war;gov:ecclesiarchical_appointee;population:sole_settlement;star:blue_white;tech:low;temperature:temperate;world_type:agri_world
sys-0004-w05,sys-0004,5,Supplica,5,17,A,DeathWorld,Tainted,Hot,XenoHybrid,ExtremelyDense,XenoHybrid,Megacorporations,FactionalFragmentation;EugenicCult;ExtremeEnvironment,death_guard;lord_solar_staff_regiments;ordo_scriptorum,atmosphere:tainted;biosphere:xeno_hybrid;feature:eugenic_cult;feature:extreme_environment;feature:factional_fragmentation;gov:megacorporations;population:extremely_dense;star:white;tech:xeno_hybrid;temperature:hot;world_type:death_world
sys-0005-w01,sys-0005,1,Ligeion,1,2,B,AgriWorld,Breathable,Cold,Nonexistent,Minimal,Low,ClansTribes,AncientArchive;ArchaeotechRuins;CivilWar,pyrovore_broods,atmosphere:breathable;biosphere:nonexistent;feature:ancient_archive;feature:archaeotech_ruins;feature:civil_war;gov:clans_tribes;population:minimal;star:blue_white;tech:low;temperature:cold;world_type:agri_world
