star_colour,world_type,atmosphere,temperature,biosphere,population,tech_level,government,notable_feature,counter,weight
O,Agri-World,Airless,Freezing,Nonexistent,Uninhabited,Primitive,Balkanized Local Factions,Abhumans,Agri-World,4
O,Agri-World,Airless,Cold,Nonexistent,Minimal,Primitive,Chaos Cult,Altered Humans,Bastion World,7
B,Agri-World,Breathable,Cold,Nonexistent,Minimal,Low,Clans / Tribes,Ancient Archive,Death World,7
B,Agri-World,Breathable,Cold,Minimal,Minimal,Low,Communards,Ancient Tombs,Dead World,2
B,Agri-World,Breathable,Cold,Minimal,Sole Settlement,Low,Corrupt Aristocrats,Archaeotech Ruins,Extractive Colony,6
B,Agri-World,Breathable,Cold,Minimal,Sole Settlement,Low,Demagogue,Blinding Mists,Feral World,8
B,Agri-World,Breathable,Temperate,Minimal,Sole Settlement,Low,Ecclesiarchical Appointee,Celestial Phenomena,Feudal World,9
B,Agri-World,Breathable,Temperate,Thriving,Lightly Populated,Standard,Elitist Tyrant,Chaos Cultists,Forge World,4
A,Agri-World,Breathable,Temperate,Thriving,Lightly Populated,Standard,Explorator Authority,Civil War,Frontier World,18
A,Agri-World,Corrosive,Temperate,Thriving,Lightly Populated,Standard,Guilds / Combines,Cold War,Hive World,4
A,Bastion World,Exotic,Temperate,Thriving,Lightly Populated,Standard,Hereteks,Crumbling Arcologies,Industrial World,14
A,Bastion World,Thin,Temperate,Poisoned,Densely Populated,Standard,Heretical Imperial Cult,Daemonic Corruption,Orbital,7
A,Bastion World,Thin,Temperate,Poisoned,Densely Populated,Standard,Infractionist Gang,Dangerous Wildlife,Penal World,6
A,Death World,Thin,Temperate,Poisoned,Densely Populated,Standard,Local Religious Authorities,Desert World,Planetary Dump,0
A,Death World,Thin,Hot,Poisoned,Densely Populated,High,Loyalist Mass Movement,Deviant Religion,Planetary Monument,0
A,Death World,Tainted,Hot,Xeno Hybrid,Densely Populated,High,Magistrate Council,Eugenic Cult,Pleasure World,2
A,Death World,Tainted,Hot,Xeno Hybrid,Extremely Dense,High,Mechanicus Forge-Lord,Extreme Environment,Research Station,4
